SourceFile,Executable,RunCount,LastRun,AllRunTimes,FilesLoaded
AM_DELTA.EXE-78CA83B0.pf,AM_DELTA.EXE,1,2020-09-18 22:44:32.551352,2020-09-18 22:44:32.551352; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,13
APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf,APPLICATIONFRAMEHOST.EXE,7,2020-09-19 01:07:38.271391,2020-09-19 01:07:38.271391; 2020-09-18 23:00:03.062904; 2020-09-18 22:52:52.378024; 2020-09-18 22:47:02.955786; 2020-09-18 22:44:35.972958; 2020-09-18 21:40:35.830068; 2020-09-18 05:51:11.174443; 1601-01-01 00:00:00,77
AUDIODG.EXE-AB22E9A6.pf,AUDIODG.EXE,8,2020-09-19 05:18:45.487572,2020-09-19 05:18:45.487572; 2020-09-19 05:08:58.718968; 2020-09-19 03:46:58.754626; 2020-09-19 03:39:08.062918; 2020-09-19 01:08:14.957884; 2020-09-18 23:00:32.851220; 2020-09-18 21:41:40.189084; 2020-09-18 05:47:32.405034,79
BACKGROUNDTASKHOST.EXE-0BC8566F.pf,BACKGROUNDTASKHOST.EXE,1,2020-09-18 23:01:20.209462,2020-09-18 23:01:20.209462; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,40
BACKGROUNDTASKHOST.EXE-11E39F86.pf,BACKGROUNDTASKHOST.EXE,3,2020-09-19 03:39:11.082106,2020-09-19 03:39:11.082106; 2020-09-18 23:00:35.804656; 2020-09-18 22:47:03.346471; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,52
BACKGROUNDTASKHOST.EXE-616CC033.pf,BACKGROUNDTASKHOST.EXE,3,2020-09-19 03:36:37.988411,2020-09-19 03:36:37.988411; 2020-09-18 22:44:26.407135; 2020-09-18 05:50:06.080718; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,158
BACKGROUNDTASKHOST.EXE-74EF8E2C.pf,BACKGROUNDTASKHOST.EXE,6,2020-09-18 22:46:53.488868,2020-09-18 22:46:53.488868; 2020-09-18 22:46:53.175712; 2020-09-18 22:44:30.299579; 2020-09-18 22:44:29.768270; 2020-09-18 05:50:13.268360; 2020-09-18 05:50:12.143417; 1601-01-01 00:00:00; 1601-01-01 00:00:00,83
BACKGROUNDTASKHOST.EXE-AFDB9C9D.pf,BACKGROUNDTASKHOST.EXE,1,2020-09-18 23:01:18.803799,2020-09-18 23:01:18.803799; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,38
BACKGROUNDTASKHOST.EXE-C7D25CAC.pf,BACKGROUNDTASKHOST.EXE,2,2020-09-18 22:47:03.268260,2020-09-18 22:47:03.268260; 2020-09-18 22:44:36.409988; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,49
BACKGROUNDTASKHOST.EXE-C84D46ED.pf,BACKGROUNDTASKHOST.EXE,1,2020-09-18 23:00:46.556998,2020-09-18 23:00:46.556998; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,34
