Offset|lf_LSN|MftRef|MftRefSeqNo|FileName
0x00004AC8|1075025|39|1|report.txt
0x00005240|1075272|40|1|notes.txt
0x00005998|1075507|41|1|temp.log
0x000061E8|1075773|39||report_final.txt
0x00013E88|1066961|11||$Extend
0x00014BC8|1067385|24|1|$Quota
0x00015720|1067748|25|1|$ObjId
0x00015E00|1067968|26|1|$Reparse
0x0001B168|1070637|30|1|$TxfLog
0x0001B948|1070889|31|1|$Txf
0x0001C308|1071201|32|1|$Tops
0x000239D0|1066810|9|9|$Quota
0x00026540|1068200|27|1|$RmMetadata
0x00026D20|1068452|28|1|$Repair
0x00027298|1068627|29|1|$Deleted
0x00027CE8|1068957|9||$Secure
0x0002D410|1071746|33|1|$TxfLog.blf
0x0002DCE0|1072100|34|1|$TxfLogContainer00000000000000000001
0x0002E498|1072275|35|1|$TxfLogContainer00000000000000000002
0x0002F9B0|1072950|36|1|System Volume Information
0x00030BA0|1073524|37|1|WPSettings.dat
0x00032740|1074408|38|1|case
0x00033A88|1075025|39|1|report.txt
0x000351E8|1075773|39||report_final.txt
