Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,ConnectedTime,ConnectStartTime,InterfaceLuid,InterfaceType,L2ProfileFlags,L2ProfileId,ProfileName
1,2026-07-03 18:17:00,,,,UnknownOrUserSid,,,2,1,1301,2026-07-03 17:55:18,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
3,2026-07-14 07:26:00,,,,UnknownOrUserSid,,,2,1,3643,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
5,2026-07-14 08:26:00,,,,UnknownOrUserSid,,,2,1,7243,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
7,2026-07-14 09:26:00,,,,UnknownOrUserSid,,,2,1,10843,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
9,2026-07-14 10:26:00,,,,UnknownOrUserSid,,,2,1,14443,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
11,2026-07-14 11:26:00,,,,UnknownOrUserSid,,,2,1,18043,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
13,2026-07-14 12:26:00,,,,UnknownOrUserSid,,,2,1,21643,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
15,2026-07-14 13:26:00,,,,UnknownOrUserSid,,,2,1,25243,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
17,2026-07-14 14:26:00,,,,UnknownOrUserSid,,,2,1,28843,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
19,2026-07-14 15:27:00,,,,UnknownOrUserSid,,,2,1,32503,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
21,2026-07-14 16:27:00,,,,UnknownOrUserSid,,,2,1,36103,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
23,2026-07-14 17:27:00,,,,UnknownOrUserSid,,,2,1,39703,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
25,2026-07-14 18:27:00,,,,UnknownOrUserSid,,,2,1,43303,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
27,2026-07-14 19:27:00,,,,UnknownOrUserSid,,,2,1,46903,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
29,2026-07-14 20:27:00,,,,UnknownOrUserSid,,,2,1,50503,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
31,2026-07-14 21:27:00,,,,UnknownOrUserSid,,,2,1,54103,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
33,2026-07-14 22:27:00,,,,UnknownOrUserSid,,,2,1,57703,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
35,2026-07-14 23:27:00,,,,UnknownOrUserSid,,,2,1,61303,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
37,2026-07-15 00:27:00,,,,UnknownOrUserSid,,,2,1,64114,2026-07-14 06:25:16,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
38,2026-07-15 00:27:00,,,,UnknownOrUserSid,,,2,1,28,2026-07-15 00:13:56,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
39,2026-07-15 00:27:00,,,,UnknownOrUserSid,,,2,1,276,2026-07-15 00:14:29,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
40,2026-07-15 00:27:00,,,,UnknownOrUserSid,,,2,1,15,2026-07-15 00:19:11,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
41,2026-07-15 00:27:00,,,,UnknownOrUserSid,,,2,1,448,2026-07-15 00:19:31,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
43,2026-07-15 00:32:00,,,,UnknownOrUserSid,,,2,1,748,2026-07-15 00:19:31,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
45,2026-07-15 00:34:00,,,,UnknownOrUserSid,,,2,1,66,2026-07-15 00:32:53,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
47,2026-07-15 01:36:00,,,,UnknownOrUserSid,,,2,1,3659,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
49,2026-07-15 02:36:00,,,,UnknownOrUserSid,,,2,1,7259,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
51,2026-07-15 03:36:00,,,,UnknownOrUserSid,,,2,1,10859,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
53,2026-07-15 04:36:00,,,,UnknownOrUserSid,,,2,1,14459,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
55,2026-07-15 05:36:00,,,,UnknownOrUserSid,,,2,1,18059,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
57,2026-07-15 06:36:00,,,,UnknownOrUserSid,,,2,1,21659,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
59,2026-07-15 07:36:00,,,,UnknownOrUserSid,,,2,1,25259,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
61,2026-07-15 08:36:00,,,,UnknownOrUserSid,,,2,1,28859,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
63,2026-07-15 09:36:00,,,,UnknownOrUserSid,,,2,1,32459,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
65,2026-07-15 10:36:00,,,,UnknownOrUserSid,,,2,1,36059,2026-07-15 00:35:00,1689399616077824,IF_TYPE_ETHERNET_CSMACD,0,0,
