Id,Timestamp,UserId,AppId,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,StartTime,EndTime,Flags,Duration
1,2026-07-03 18:17:00,60,271,U,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-03 17:57:00,2026-07-03 18:15:00,0,00:17:59.9973219
2,2026-07-03 18:17:00,60,272,C101,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-03 17:57:00,2026-07-03 18:15:00,0,00:17:59.9973219
3,2026-07-03 18:17:00,60,273,C125,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-03 17:57:00,2026-07-03 18:05:00,0,00:07:59.9957615
4,2026-07-03 18:17:00,60,274,C127,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-03 17:57:00,2026-07-03 18:05:00,0,00:07:59.9957615
7,2026-07-14 07:26:00,60,271,U,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 04:38:00,2026-07-14 07:26:00,0,02:47:59.9953934
8,2026-07-14 07:26:00,60,272,C101,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 04:38:00,2026-07-14 06:43:00,0,02:04:59.9935703
9,2026-07-14 07:26:00,60,273,C125,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 04:38:00,2026-07-14 06:26:00,0,01:48:00.0087005
10,2026-07-14 07:26:00,60,274,C127,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 04:38:00,2026-07-14 06:26:00,0,01:48:00.0087005
13,2026-07-14 08:26:00,60,271,U,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 07:53:00,2026-07-14 08:11:00,0,00:18:00.0146767
15,2026-07-15 00:27:00,60,271,U,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 23:58:00,2026-07-14 23:59:00,0,00:00:59.9998921
16,2026-07-15 00:27:00,60,272,C101,,,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,2026-07-14 23:58:00,2026-07-14 23:59:00,0,00:00:59.9998921
